BraTS21ID,Model,Channels,Tumor regions,Dice score
BraTS2021_01492,DynUnet,4 channels,TC,0.9136581420898438
BraTS2021_00551,DynUnet,4 channels,TC,0.9697416424751282
BraTS2021_01502,DynUnet,4 channels,TC,0.42740902304649353
BraTS2021_01208,DynUnet,4 channels,TC,0.8645161390304565
BraTS2021_00111,DynUnet,4 channels,TC,0.8418306708335876
BraTS2021_00280,DynUnet,4 channels,TC,0.9318162202835083
BraTS2021_01615,DynUnet,4 channels,TC,0.9086705446243286
BraTS2021_00797,DynUnet,4 channels,TC,0.9481617212295532
BraTS2021_01213,DynUnet,4 channels,TC,0.9355668425559998
BraTS2021_01661,DynUnet,4 channels,TC,0.9478996396064758
BraTS2021_01023,DynUnet,4 channels,TC,0.9652855396270752
BraTS2021_01028,DynUnet,4 channels,TC,0.9622316360473633
BraTS2021_01634,DynUnet,4 channels,TC,0.9866635203361511
BraTS2021_00830,DynUnet,4 channels,TC,0.9790805578231812
BraTS2021_00157,DynUnet,4 channels,TC,0.9695649147033691
BraTS2021_00090,DynUnet,4 channels,TC,0.9602574110031128
BraTS2021_00085,DynUnet,4 channels,TC,0.5853107571601868
BraTS2021_01458,DynUnet,4 channels,TC,0.8964096307754517
BraTS2021_01057,DynUnet,4 channels,TC,0.9780084490776062
BraTS2021_00282,DynUnet,4 channels,TC,0.9701399207115173
BraTS2021_01158,DynUnet,4 channels,TC,0.8643763065338135
BraTS2021_00718,DynUnet,4 channels,TC,0.9715396165847778
BraTS2021_01348,DynUnet,4 channels,TC,0.9823377132415771
BraTS2021_00510,DynUnet,4 channels,TC,0.9717733263969421
BraTS2021_00618,DynUnet,4 channels,TC,0.9912472367286682
BraTS2021_01579,DynUnet,4 channels,TC,0.9499605298042297
BraTS2021_01169,DynUnet,4 channels,TC,0.4354933798313141
BraTS2021_00605,DynUnet,4 channels,TC,0.9673805236816406
BraTS2021_00332,DynUnet,4 channels,TC,0.9629936218261719
BraTS2021_01251,DynUnet,4 channels,TC,0.9593700766563416
BraTS2021_01069,DynUnet,4 channels,TC,0.9885814785957336
BraTS2021_01628,DynUnet,4 channels,TC,0.0
BraTS2021_01316,DynUnet,4 channels,TC,0.9842308759689331
BraTS2021_01660,DynUnet,4 channels,TC,0.9613071084022522
BraTS2021_01212,DynUnet,4 channels,TC,0.930688202381134
BraTS2021_00322,DynUnet,4 channels,TC,0.9871570467948914
BraTS2021_00400,DynUnet,4 channels,TC,0.9425590634346008
BraTS2021_00747,DynUnet,4 channels,WT,0.9531580805778503
BraTS2021_01362,DynUnet,4 channels,WT,0.9751391410827637
BraTS2021_00525,DynUnet,4 channels,WT,0.9624899625778198
BraTS2021_00556,DynUnet,4 channels,WT,0.9314872026443481
BraTS2021_00136,DynUnet,4 channels,WT,0.9293619394302368
BraTS2021_00360,DynUnet,4 channels,WT,0.9345305562019348
BraTS2021_00123,DynUnet,4 channels,WT,0.955166220664978
BraTS2021_00456,DynUnet,4 channels,WT,0.9841575622558594
BraTS2021_00144,DynUnet,4 channels,WT,0.9377867579460144
BraTS2021_01239,DynUnet,4 channels,WT,0.9059464931488037
BraTS2021_01486,DynUnet,4 channels,WT,0.8289660811424255
BraTS2021_00003,DynUnet,4 channels,WT,0.9781639575958252
BraTS2021_01120,DynUnet,4 channels,WT,0.9776926040649414
BraTS2021_01570,DynUnet,4 channels,WT,0.9823485612869263
BraTS2021_00199,DynUnet,4 channels,WT,0.979741632938385
BraTS2021_00789,DynUnet,4 channels,WT,0.9878761768341064
BraTS2021_00185,DynUnet,4 channels,WT,0.5688953995704651
BraTS2021_01516,DynUnet,4 channels,WT,0.8872548937797546
BraTS2021_01317,DynUnet,4 channels,WT,0.9863914251327515
BraTS2021_00151,DynUnet,4 channels,WT,0.9500580430030823
BraTS2021_01049,DynUnet,4 channels,WT,0.8350764513015747
BraTS2021_00053,DynUnet,4 channels,WT,0.9554849863052368
BraTS2021_00195,DynUnet,4 channels,WT,0.9811162948608398
BraTS2021_01279,DynUnet,4 channels,WT,0.7977132201194763
BraTS2021_00448,DynUnet,4 channels,WT,0.9853265881538391
BraTS2021_01459,DynUnet,4 channels,WT,0.9123015999794006
BraTS2021_00806,DynUnet,4 channels,WT,0.9747360348701477
BraTS2021_01466,DynUnet,4 channels,WT,0.9675564169883728
BraTS2021_00382,DynUnet,4 channels,WT,0.9230079650878906
BraTS2021_01433,DynUnet,4 channels,WT,0.9077655076980591
BraTS2021_01113,DynUnet,4 channels,WT,0.9519957304000854
BraTS2021_00429,DynUnet,4 channels,WT,0.9676729440689087
BraTS2021_00096,DynUnet,4 channels,WT,0.9691982865333557
BraTS2021_01379,DynUnet,4 channels,WT,0.9783880710601807
BraTS2021_01585,DynUnet,4 channels,WT,0.9812794923782349
BraTS2021_00102,DynUnet,4 channels,WT,0.7950344681739807
BraTS2021_01638,DynUnet,4 channels,WT,0.9212695956230164
BraTS2021_01131,DynUnet,4 channels,WT,0.9769006371498108
BraTS2021_00139,DynUnet,4 channels,WT,0.9382002949714661
BraTS2021_01338,DynUnet,4 channels,WT,0.9595708847045898
BraTS2021_01370,DynUnet,4 channels,WT,0.83900386095047
BraTS2021_00491,DynUnet,4 channels,WT,0.9628851413726807
BraTS2021_00495,DynUnet,4 channels,WT,0.9637596011161804
BraTS2021_01454,DynUnet,4 channels,WT,0.8956445455551147
BraTS2021_01575,DynUnet,4 channels,WT,0.9831089377403259
BraTS2021_00675,DynUnet,4 channels,WT,0.9150182604789734
BraTS2021_00165,DynUnet,4 channels,WT,0.988240659236908
BraTS2021_01047,DynUnet,4 channels,WT,0.9317115545272827
BraTS2021_01352,DynUnet,4 channels,WT,0.9652277827262878
BraTS2021_01103,DynUnet,4 channels,WT,0.9712125658988953
BraTS2021_01492,DynUnet,4 channels,WT,0.9631404280662537
BraTS2021_00551,DynUnet,4 channels,WT,0.9547244906425476
BraTS2021_01502,DynUnet,4 channels,WT,0.7113821506500244
BraTS2021_01208,DynUnet,4 channels,WT,0.8105862736701965
BraTS2021_00111,DynUnet,4 channels,WT,0.8911429047584534
BraTS2021_00280,DynUnet,4 channels,WT,0.8285948038101196
BraTS2021_01615,DynUnet,4 channels,WT,0.9045959711074829
BraTS2021_00797,DynUnet,4 channels,WT,0.9702728390693665
BraTS2021_01213,DynUnet,4 channels,WT,0.9061093926429749
