scan_id,Dice_ET,Dice_TC,Dice_WT,Hausdorff95_ET,Hausdorff95_TC,Hausdorff95_WT,Sensitivity_ET,Sensitivity_TC,Sensitivity_WT,Specificity_ET,Specificity_TC,Specificity_WT
00001,0.81272,0.9106479999999999,0.963339,7.549834,11.045361,1.7320509999999998,0.722458,0.8608399999999999,0.985349,0.999833,0.999849,0.9991610000000001
00013,0.803235,0.9064530000000001,0.9074979999999999,3.1622779999999997,3.605551,5.656854,0.695199,0.839374,0.8430790000000001,0.99979,0.999893,0.999792
00015,0.925306,0.9643370000000001,0.9734959999999999,1.4142139999999999,1.4142139999999999,1.0,0.891972,0.944134,0.978607,0.999868,0.9999319999999999,0.999194
00027,0.787443,0.929884,0.883036,1.7320509999999998,2.236068,7.0710679999999995,0.808146,0.9281,0.949142,0.9995069999999999,0.9997370000000001,0.998674
00037,0.8388610000000001,0.9716969999999999,0.954895,2.236068,1.0,1.4142139999999999,0.9315540000000001,0.9529920000000001,0.9597600000000001,0.9998379999999999,0.999993,0.9997370000000001
00047,0.930483,0.9427049999999999,0.969182,1.0,1.0,1.4142139999999999,0.8799040000000001,0.900379,0.956515,0.999986,0.9999870000000001,0.9998549999999999
00079,0.7938970000000001,0.710989,0.960916,9.899495,11.532563,2.0,0.8938459999999999,0.9205059999999999,0.944483,0.999922,0.9998520000000001,0.9997219999999999
00080,0.960518,0.98498,0.820667,1.0,1.0,9.69536,0.9266040000000001,0.97191,0.712677,0.9999950000000001,0.9999969999999999,0.9998319999999999
00082,0.879474,0.9768459999999999,0.973851,1.4142139999999999,1.0,1.0,0.818926,0.9693799999999999,0.9872290000000001,0.9998459999999999,0.999899,0.999015
00091,0.8533950000000001,0.9582350000000001,0.939105,2.236068,2.236068,3.316625,0.7753359999999999,0.9328270000000001,0.906342,0.999749,0.999848,0.999491
00114,0.7328020000000001,0.9301889999999999,0.9290299999999999,2.236068,1.7320509999999998,2.828427,0.928399,0.93115,0.9185049999999999,0.9994649999999999,0.999877,0.999878
00119,0.941903,0.9339040000000001,0.966353,1.0,2.236068,1.4142139999999999,0.928424,0.892393,0.96491,0.999801,0.999865,0.9994430000000001
00125,0.8851709999999999,0.8683489999999999,0.903969,2.44949,4.123106,3.1622779999999997,0.8666780000000001,0.783924,0.935109,0.999699,0.9998950000000001,0.9988520000000001
00129,0.9314100000000001,0.9531040000000001,0.9731690000000001,1.0,1.0,1.0,0.917852,0.941045,0.991657,0.999921,0.999944,0.9997520000000001
00135,0.9097540000000001,0.9451379999999999,0.913108,1.4142139999999999,1.4142139999999999,2.44949,0.971493,0.978461,0.9707040000000001,0.9996209999999999,0.999712,0.998633
00141,0.8889379999999999,0.922126,0.915116,3.0,5.744562999999999,5.744562999999999,0.82744,0.870276,0.9010549999999999,0.99965,0.999743,0.9988819999999999
00145,0.74812,0.77225,0.8605860000000001,5.744562999999999,7.0710679999999995,5.656854,0.971879,0.97408,0.953543,0.999108,0.999129,0.997659
00153,0.9845940000000001,0.9930559999999999,0.985977,1.0,1.0,1.0,0.9815389999999999,0.994674,0.979375,0.999973,0.99997,0.99997
00161,0.969591,0.9779049999999999,0.970882,1.0,1.0,1.0,0.984605,0.9811290000000001,0.979575,0.999884,0.9999180000000001,0.999767
00163,1.0,0.9639,0.9724139999999999,0.0,1.0,1.4142139999999999,1.0,0.9629770000000001,0.980408,1.0,0.9999180000000001,0.999877
00174,0.9709,0.984801,0.9844930000000001,1.0,1.0,1.0,0.9626170000000001,0.975641,0.988834,0.9999129999999999,0.9999709999999999,0.9996649999999999
00181,0.9608760000000001,0.9785780000000001,0.920062,1.0,1.0,2.236068,0.931009,0.9616450000000001,0.95575,0.99998,0.9999879999999999,0.999215
00182,0.955902,0.9743059999999999,0.989149,1.0,1.7320509999999998,1.0,0.918549,0.95409,0.993016,0.999993,0.9999879999999999,0.9997889999999999
00190,0.968352,0.989088,0.987617,1.0,1.0,1.0,0.944267,0.978874,0.997624,0.999977,0.9999959999999999,0.9995440000000001
00200,0.9576680000000001,0.972726,0.980058,1.0,1.0,1.0,0.94326,0.9627459999999999,0.9820120000000001,0.999965,0.999969,0.99969
00208,0.9675159999999999,0.9894940000000001,0.954622,1.0,1.0,1.7320509999999998,0.9470540000000001,0.9812620000000001,0.97135,0.99998,0.999992,0.9993280000000001
00213,0.077443,0.18876099999999998,0.31049299999999996,9.869113,8.660254,24.089409,0.040281,0.104217,0.184604,1.0,1.0,0.9999950000000001
00229,0.869237,0.88826,0.882501,3.741657,5.0,3.1622779999999997,0.788484,0.815796,0.9410799999999999,0.999959,0.999964,0.998922
00252,1.0,1.0,0.85001,0.0,0.0,6.557439,1.0,1.0,0.796198,1.0,1.0,0.999863
00256,0.9527389999999999,0.987424,0.972447,1.0,1.0,1.0,0.9097430000000001,0.9775879999999999,0.9996209999999999,1.0,0.999999,0.999783
00264,0.931135,0.973663,0.987851,1.0,1.0,1.0,0.9226110000000001,0.970757,0.991367,0.999906,0.9999520000000001,0.999876
00287,0.801716,0.856534,0.9465690000000001,3.0,3.741657,4.0,0.945738,0.963471,0.961752,0.9994040000000001,0.999524,0.99954
00307,0.8939299999999999,0.933506,0.874885,1.0,1.4142139999999999,7.0,0.957933,0.9984069999999999,0.8553379999999999,0.999851,0.999812,0.9994
