scan_id,Dice_ET,Dice_TC,Dice_WT,Hausdorff95_ET,Hausdorff95_TC,Hausdorff95_WT,Sensitivity_ET,Sensitivity_TC,Sensitivity_WT,Specificity_ET,Specificity_TC,Specificity_WT
00001,0.823522,0.909367,0.963216,8.062258,11.7047,1.4142139999999999,0.759961,0.872468,0.984719,0.999741,0.999765,0.999167
00013,0.8170310000000001,0.9142399999999999,0.92095,3.0,3.1622779999999997,3.605551,0.721545,0.8550399999999999,0.869656,0.9997370000000001,0.999869,0.9997360000000001
00015,0.932808,0.966773,0.9706229999999999,1.4142139999999999,1.4142139999999999,1.4142139999999999,0.923465,0.9637979999999999,0.966143,0.999793,0.9998530000000001,0.9993780000000001
00027,0.800851,0.934968,0.9109430000000001,1.7320509999999998,2.236068,3.741657,0.837414,0.9319649999999999,0.9244979999999999,0.9994879999999999,0.999762,0.9993040000000001
00037,0.8491120000000001,0.9757450000000001,0.9546040000000001,2.236068,1.0,1.4142139999999999,0.9640709999999999,0.979216,0.9608180000000001,0.9998290000000001,0.999978,0.9997280000000001
00047,0.946708,0.958635,0.973799,1.0,1.0,1.0,0.91386,0.9346780000000001,0.966508,0.99998,0.99998,0.9998450000000001
00079,0.906118,0.908784,0.958889,1.4142139999999999,1.4142139999999999,2.0,0.937949,0.953418,0.9444739999999999,0.9999709999999999,0.9999680000000001,0.999668
00080,0.959592,0.988474,0.822609,1.0,1.0,9.848858,0.926265,0.9811620000000001,0.72072,0.999993,0.999992,0.9997799999999999
00082,0.895123,0.977959,0.97021,1.4142139999999999,1.0,1.4142139999999999,0.867603,0.982858,0.9938370000000001,0.999749,0.99982,0.998657
00091,0.865058,0.958299,0.9387120000000001,2.236068,2.236068,3.316625,0.814401,0.9422889999999999,0.920134,0.9995879999999999,0.9997379999999999,0.999142
00114,0.737102,0.9333379999999999,0.926465,2.236068,1.7320509999999998,6.403124,0.926876,0.9309569999999999,0.9191,0.999481,0.9998889999999999,0.999865
