BraTS21ID,Model,Channels,Tumor regions,Dice score
BraTS2021_01636,nnUnet,4 channels,TC,0.5292566418647766
BraTS2021_00481,nnUnet,4 channels,TC,0.9608762860298157
BraTS2021_00211,nnUnet,4 channels,TC,0.9826128482818604
BraTS2021_01297,nnUnet,4 channels,TC,0.8769898414611816
BraTS2021_01618,nnUnet,4 channels,TC,0.9795246124267578
BraTS2021_01177,nnUnet,4 channels,TC,0.9536968469619751
BraTS2021_01664,nnUnet,4 channels,TC,0.3413468599319458
BraTS2021_00550,nnUnet,4 channels,TC,0.8763428330421448
BraTS2021_00596,nnUnet,4 channels,TC,0.9696319103240967
BraTS2021_00504,nnUnet,4 channels,TC,0.8482993245124817
BraTS2021_00663,nnUnet,4 channels,TC,0.9827454090118408
BraTS2021_01192,nnUnet,4 channels,TC,0.3456079065799713
BraTS2021_00395,nnUnet,4 channels,TC,0.9726932048797607
BraTS2021_01198,nnUnet,4 channels,TC,0.9553890228271484
BraTS2021_00548,nnUnet,4 channels,TC,0.9698295593261719
BraTS2021_01613,nnUnet,4 channels,TC,0.9629130959510803
BraTS2021_00834,nnUnet,4 channels,TC,0.9636988639831543
BraTS2021_01402,nnUnet,4 channels,TC,0.9632711410522461
BraTS2021_01184,nnUnet,4 channels,TC,0.899688184261322
BraTS2021_01416,nnUnet,4 channels,TC,0.7459530234336853
BraTS2021_00468,nnUnet,4 channels,TC,0.900483250617981
BraTS2021_01494,nnUnet,4 channels,TC,0.7328216433525085
BraTS2021_01217,nnUnet,4 channels,TC,0.8805718421936035
BraTS2021_01315,nnUnet,4 channels,TC,0.9522116184234619
BraTS2021_01218,nnUnet,4 channels,TC,0.8673007488250732
BraTS2021_00364,nnUnet,4 channels,TC,0.9814552068710327
BraTS2021_01171,nnUnet,4 channels,TC,0.9682039618492126
BraTS2021_00371,nnUnet,4 channels,TC,0.9808828830718994
BraTS2021_01375,nnUnet,4 channels,TC,0.8077660799026489
BraTS2021_00243,nnUnet,4 channels,TC,0.6296617388725281
BraTS2021_01383,nnUnet,4 channels,TC,0.9797742962837219
BraTS2021_01321,nnUnet,4 channels,TC,0.9861325025558472
BraTS2021_01132,nnUnet,4 channels,TC,0.985201895236969
BraTS2021_01662,nnUnet,4 channels,TC,0.9850456118583679
BraTS2021_00724,nnUnet,4 channels,TC,0.9689052700996399
BraTS2021_01654,nnUnet,4 channels,TC,0.9705168604850769
BraTS2021_01319,nnUnet,4 channels,TC,0.9821012616157532
BraTS2021_00294,nnUnet,4 channels,TC,0.9645942449569702
BraTS2021_01127,nnUnet,4 channels,TC,0.9673082828521729
BraTS2021_00369,nnUnet,4 channels,TC,0.912956714630127
BraTS2021_00407,nnUnet,4 channels,TC,0.9387060403823853
BraTS2021_01477,nnUnet,4 channels,TC,0.68161541223526
BraTS2021_00518,nnUnet,4 channels,TC,0.8589462041854858
BraTS2021_00339,nnUnet,4 channels,TC,0.9758691787719727
BraTS2021_01106,nnUnet,4 channels,TC,0.9460071921348572
BraTS2021_01543,nnUnet,4 channels,TC,0.9702907204627991
BraTS2021_00131,nnUnet,4 channels,TC,0.9150903820991516
BraTS2021_01360,nnUnet,4 channels,TC,0.9715234637260437
BraTS2021_01252,nnUnet,4 channels,TC,0.862404465675354
BraTS2021_01150,nnUnet,4 channels,TC,0.9252735376358032
BraTS2021_01305,nnUnet,4 channels,TC,0.9866344928741455
BraTS2021_00432,nnUnet,4 channels,TC,0.8788613080978394
BraTS2021_00626,nnUnet,4 channels,TC,0.9551923871040344
BraTS2021_00043,nnUnet,4 channels,TC,0.775763750076294
BraTS2021_00808,nnUnet,4 channels,TC,0.9748889803886414
BraTS2021_01211,nnUnet,4 channels,TC,0.9133551120758057
BraTS2021_01312,nnUnet,4 channels,TC,0.9701991677284241
BraTS2021_00679,nnUnet,4 channels,TC,0.8784261345863342
BraTS2021_00273,nnUnet,4 channels,TC,0.9740819931030273
BraTS2021_00406,nnUnet,4 channels,TC,0.9647412896156311
BraTS2021_00764,nnUnet,4 channels,TC,0.909079909324646
BraTS2021_01180,nnUnet,4 channels,TC,0.9195208549499512
BraTS2021_01077,nnUnet,4 channels,TC,0.0
BraTS2021_01301,nnUnet,4 channels,TC,0.953950822353363
BraTS2021_00576,nnUnet,4 channels,TC,0.7448448538780212
BraTS2021_01580,nnUnet,4 channels,TC,0.970236599445343
BraTS2021_00077,nnUnet,4 channels,TC,0.9651879072189331
BraTS2021_01631,nnUnet,4 channels,TC,0.9802512526512146
BraTS2021_01656,nnUnet,4 channels,TC,0.17890959978103638
BraTS2021_01000,nnUnet,4 channels,TC,0.9805845618247986
BraTS2021_01620,nnUnet,4 channels,TC,0.9775617718696594
BraTS2021_00496,nnUnet,4 channels,TC,0.9378200173377991
BraTS2021_00567,nnUnet,4 channels,TC,0.9491051435470581
BraTS2021_00485,nnUnet,4 channels,TC,0.6015651822090149
BraTS2021_00494,nnUnet,4 channels,TC,0.9819084405899048
BraTS2021_01644,nnUnet,4 channels,TC,0.965562641620636
BraTS2021_00116,nnUnet,4 channels,TC,0.8552472591400146
BraTS2021_00479,nnUnet,4 channels,TC,0.9797890186309814
BraTS2021_01046,nnUnet,4 channels,TC,0.975272536277771
BraTS2021_01636,nnUnet,4 channels,WT,0.8366595506668091
